Année,Éditeur,Chiffre d'affaires (M€),Résultat net (M€),Dépenses R&D (M€),Effectif total,Masse salariale (M€),Commentaire stratégique
2018-03-31,Ubisoft,1731.9,139.5,720.2,11700.0,1300.0,Croissance grâce à Assassin's Creed
2019-03-31,Ubisoft,1845.5,100.0,801.3,15985.0,984.9,Succès de The Division 2
2020-03-31,Ubisoft,1594.8,103.1,909.6,18045.0,1058.3,Croissance continue sur console
2021-03-31,Ubisoft,2223.8,125.6,1104.2,20324.0,1157.7,Développement de services live
2022-03-31,Ubisoft,2125.2,79.1,1195.6,20665.0,1154.2,Performance mitigée post-COVID
2023-03-31,Ubisoft,1814.3,-494.71,1328.8,20133.0,2200.0,"Année marquée par restructuration interne, reports de projets et recentrage sur franchises majeures ; adaptation stratégique au marché post-COVID."
2024-03-31,Ubisoft,2300.9,157.9,1255.8,19011.0,2100.0,"Retard de Shadows pour qualité, audit stratégique, réduction de coûts (>200 M €), amélioration operations."
2025-03-31,Ubisoft,1899.2,-158.7,1235.6,17782.0,1981.9,"Création d'une filiale pour Assassin’s Creed/Far Cry/Rainbow Six, investissement Tencent €1.16 Md ; viser équilibre 2026."
2018-03-31,Electronic Arts,5150.0,1043.0,1320.0,9300.0,242.0,FIFA et Apex Legends dominent le marché
2019-03-31,Electronic Arts,4950.0,1019.0,1433.0,9700.0,284.0,Croissance live services
2020-03-31,Electronic Arts,5537.0,3039.0,1559.0,9800.0,347.0,Bonne performance sur toutes plateformes
2021-03-31,Electronic Arts,5629.0,837.0,1778.0,11000.0,435.0,Forte monétisation de FIFA Ultimate Team
2022-03-31,Electronic Arts,6991.0,789.0,2186.0,12900.0,528.0,Stabilité malgré les défis sanitaires
2023-03-31,Electronic Arts,7426.0,802.0,2328.0,13400.0,548.0,Croissance soutenue de EA SPORTS FC et Madden NFL ; pipeline renforcé et stratégie à long terme claire.
2024-03-31,Electronic Arts,7562.0,1273.0,2420.0,13700.0,584.0,"Cash‑flow record FY24 $2.3 Md, programme de rachat $5 Md, réorganisation pour soutenir la croissance FY25‑26."
2018-03-31,Activision Blizzard,7500.0,1813.0,1100.0,9900.0,960.0,"Croissance tirée par les ventes digitales (77% du CA), effets fiscaux ponctuels"
2019-03-31,Activision Blizzard,6850.0,1531.0,1150.0,9200.0,1000.0,Restructurations internes et recentrage sur les franchises clés
2020-03-31,Activision Blizzard,8086.0,2282.0,1250.6,9500.0,1050.0,Croissance forte grâce au confinement et au mobile
2021-03-31,Activision Blizzard,8808.0,2199.0,1350.2,9800.0,1100.0,Succès de Call of Duty Mobile et Candy Crush
2022-03-31,Activision Blizzard,7943.0,1682.0,1400.6,10000.0,1100.0,Pré-acquisition Microsoft ; ajustements de portefeuille
2023-03-31,Activision Blizzard,7540.0,1520.0,1570.0,10000.0,1000.0,"Dernier exercice avant intégration Microsoft, forte présence mobile"
2024-03-31,Activision Blizzard,5729.0,,1450.8,17000.0,1870.0,"Intégration complète dans Microsoft, plus de rapport dédié"
