Name,Release_Date,Publisher,Platform,Press_Score,Number_Scores_Press,Users_Score,Number_Scores_Users,Month,Year,Scores_delta,Score_Avg
Assassin's Creed II,2009-11-17,Ubisoft,Playstation 3,9.1,70,8.7,300.0,11,2009,-0.40000000000000036,8.899999999999999
Assassin's Creed II,2009-11-17,Ubisoft,Pc,8.6,22,8.4,340.0,11,2009,-0.1999999999999993,8.5
Assassin's Creed II,2009-11-17,Ubisoft,Xbox 360,9.0,82,8.8,316.0,11,2009,-0.1999999999999993,8.9
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,Ubisoft,Pc,8.0,26,7.0,17.0,3,2006,-1.0,7.5
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,Ubisoft,Xbox,6.6,14,3.9,2.0,3,2006,-2.6999999999999997,5.25
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,Ubisoft,Playstation 2,4.4,8,5.3,4.0,3,2006,0.8999999999999995,4.85
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,Ubisoft,Xbox 360,9.0,78,7.4,15.0,3,2006,-1.5999999999999996,8.2
Silent Hunter III,2005-03-15,Ubisoft,Pc,9.0,23,8.6,10.0,3,2005,-0.40000000000000036,8.8
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,3Ds,5.3,32,5.7,7.0,3,2005,0.40000000000000036,5.5
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,Pc,9.2,36,8.8,69.0,3,2005,-0.3999999999999986,9.0
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,Xbox,9.4,70,8.5,29.0,3,2005,-0.9000000000000004,8.95
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,Playstation 2,8.7,29,8.2,9.0,3,2005,-0.5,8.45
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,Gamecube,8.1,28,7.4,2.0,3,2005,-0.6999999999999993,7.75
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,Ubisoft,Ds,5.0,22,6.8,2.0,3,2005,1.7999999999999998,5.9
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,Ubisoft,Xbox,9.3,74,8.2,12.0,3,2004,-1.1000000000000014,8.75
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,Ubisoft,Playstation 2,8.7,45,7.9,8.0,3,2004,-0.7999999999999989,8.3
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,Ubisoft,Pc,8.7,28,8.1,14.0,3,2004,-0.5999999999999996,8.399999999999999
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,Ubisoft,Gamecube,7.8,25,7.8,1.0,3,2004,0.0,7.8
Tom Clancy's Splinter Cell,2002-11-17,Ubisoft,Xbox,9.3,46,8.4,9.0,11,2002,-0.9000000000000004,8.850000000000001
Tom Clancy's Splinter Cell,2002-11-17,Ubisoft,Pc,9.1,20,8.4,44.0,11,2002,-0.6999999999999993,8.75
Tom Clancy's Splinter Cell,2002-11-17,Ubisoft,Playstation 2,8.9,24,8.0,15.0,11,2002,-0.9000000000000004,8.45
Tom Clancy's Splinter Cell,2002-11-17,Ubisoft,Gamecube,8.9,19,7.4,1.0,11,2002,-1.5,8.15
Tom Clancy's Splinter Cell,2002-11-17,Ubisoft,Game Boy Advance,7.7,21,6.5,9.0,11,2002,-1.2000000000000002,7.1
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Playstation 2,9.2,44,8.5,52.0,11,2003,-0.6999999999999993,8.85
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Xbox,9.2,41,8.4,8.0,11,2003,-0.7999999999999989,8.8
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Gamecube,9.2,33,7.9,9.0,11,2003,-1.299999999999999,8.55
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Pc,8.9,32,8.5,72.0,11,2003,-0.40000000000000036,8.7
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Game Boy Advance,7.5,25,7.7,9.0,11,2003,0.20000000000000018,7.6
Prince of Persia: The Sands of Time,2003-11-10,Ubisoft,Playstation 3,8.0,1,6.9,9.0,11,2003,-1.0999999999999996,7.45
Rayman Legends,2013-09-03,Ubisoft,Wii U,9.2,35,8.7,109.0,9,2013,-0.5,8.95
Rayman Legends,2013-09-03,Ubisoft,Playstation Vita,8.7,8,8.4,29.0,9,2013,-0.29999999999999893,8.55
Rayman Legends,2013-09-03,Ubisoft,Playstation 3,9.1,23,8.8,55.0,9,2013,-0.29999999999999893,8.95
Rayman Legends,2013-09-03,Ubisoft,Xbox 360,9.0,35,8.3,33.0,9,2013,-0.6999999999999993,8.65
Rayman Legends,2013-09-03,Ubisoft,Pc,8.9,5,8.5,74.0,9,2013,-0.40000000000000036,8.7
Rayman Legends,2013-09-03,Ubisoft,Playstation 4,9.0,16,8.5,180.0,9,2013,-0.5,8.75
Rayman Legends,2013-09-03,Ubisoft,Xbox One,9.1,6,8.0,37.0,9,2013,-1.0999999999999996,8.55
IL-2 Sturmovik,2001-11-18,Ubisoft,Pc,9.1,12,8.5,6.0,11,2001,-0.5999999999999996,8.8
Assassin's Creed: Brotherhood,2010-11-16,Ubisoft,Playstation 3,9.0,59,8.4,247.0,11,2010,-0.5999999999999996,8.7
Assassin's Creed: Brotherhood,2010-11-16,Ubisoft,Xbox 360,8.9,81,8.3,200.0,11,2010,-0.5999999999999996,8.600000000000001
Assassin's Creed: Brotherhood,2010-11-16,Ubisoft,Pc,8.8,24,8.2,284.0,11,2010,-0.6000000000000014,8.5
Far Cry,2004-03-23,Ubisoft,Pc,8.9,72,7.7,179.0,3,2004,-1.2000000000000002,8.3
Far Cry,2004-03-23,Ubisoft,Xbox,8.5,56,6.3,2.0,3,2004,-2.2,7.4
Far Cry,2004-03-23,Ubisoft,Wii,3.8,23,3.7,5.0,3,2004,-0.09999999999999964,3.75
Lumines,2005-03-22,Ubisoft,Psp,8.9,55,7.5,4.0,3,2005,-1.4000000000000004,8.2
Brothers in Arms: Road to Hill 30,2005-03-01,Ubisoft,Pc,8.7,32,7.6,25.0,3,2005,-1.0999999999999996,8.149999999999999
Brothers in Arms: Road to Hill 30,2005-03-01,Ubisoft,Xbox,8.8,64,8.3,3.0,3,2005,-0.5,8.55
Brothers in Arms: Road to Hill 30,2005-03-01,Ubisoft,Playstation 2,8.2,30,7.1,5.0,3,2005,-1.0999999999999996,7.6499999999999995
Tom Clancy's Rainbow Six: Vegas,2006-11-20,Ubisoft,Xbox 360,8.8,69,7.7,20.0,11,2006,-1.1000000000000005,8.25
Tom Clancy's Rainbow Six: Vegas,2006-11-20,Ubisoft,Playstation 3,8.6,32,7.3,9.0,11,2006,-1.2999999999999998,7.949999999999999
Tom Clancy's Rainbow Six: Vegas,2006-11-20,Ubisoft,Psp,6.0,20,6.7,2.0,11,2006,0.7000000000000002,6.35
Tom Clancy's Rainbow Six: Vegas,2006-11-20,Ubisoft,Pc,8.5,22,7.5,17.0,11,2006,-1.0,8.0
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Playstation 4,8.3,29,8.0,436.0,10,2013,-0.3000000000000007,8.15
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Pc,8.4,10,8.1,511.0,10,2013,-0.3000000000000007,8.25
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Wii U,8.6,5,7.6,39.0,10,2013,-1.0,8.1
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Xbox 360,8.6,35,8.1,198.0,10,2013,-0.5,8.35
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Playstation 3,8.8,36,8.3,295.0,10,2013,-0.5,8.55
Assassin's Creed IV: Black Flag,2013-10-29,Ubisoft,Xbox One,9.2,3,7.7,109.0,10,2013,-1.4999999999999991,8.45
Far Cry 3,2012-12-04,Ubisoft,Playstation 3,9.0,32,8.6,265.0,12,2012,-0.40000000000000036,8.8
Far Cry 3,2012-12-04,Ubisoft,Pc,8.8,43,8.4,1.0,12,2012,-0.40000000000000036,8.600000000000001
Far Cry 3,2012-12-04,Ubisoft,Xbox 360,9.1,39,8.6,341.0,12,2012,-0.5,8.85
Far Cry 3,2012-12-04,Ubisoft,Playstation 4,7.0,4,7.7,91.0,12,2012,0.7000000000000002,7.35
